"Стандартная";"Приборы лабораторные компенсационные самопишущие";"2018-05-07T19:00:00.000Z";"164728";"8635-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["ЛКС4-021"];"Нет";"Нет данных";"008635-008018";"Заводской номер";", , Да, ";"387128"
"Стандартная";"Приборы лабораторные компенсационные самопишущие";"2018-05-07T19:00:00.000Z";"164727";"8634-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["ЛКС4-020"];"Нет";"Нет данных";"008634-008018";"Заводской номер";", , Да, ";"387127"
"Стандартная";"Сигнализаторы метана малогабаритные с цифровой индикацией";"2018-05-07T19:00:00.000Z";"164724";"8633-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["Сигнал"];"Нет";"Нет данных";"008633-008018";"Заводской номер";", , Да, ";"387124"
"Стандартная";"Сигнализаторы метана малогабаритные с цифровой индикацией";"2018-05-07T19:00:00.000Z";"164725";"8633-86";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["Сигнал"];"Нет";"Нет данных";"008633-008014";"Заводской номер";", , Да, ";"387125"
"Стандартная";"Сигнализаторы метана малогабаритные с цифровой индикацией";"2018-05-07T19:00:00.000Z";"164726";"8633-89";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["Сигнал-2"];"Нет";"Завод \"Красный металлист\", Украина, г.Конотоп";"008633-008011";"Заводской номер";"УКРАИНА, г.Конотоп, Да, Завод \"Красный металлист\"";"387126"
"Стандартная";"Преобразователи";"2018-05-07T19:00:00.000Z";"164723";"8632-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["Темп"];"Нет";"Нет данных";"008632-008018";"Заводской номер";", , Да, ";"387123"
"Стандартная";"Газоанализаторы";"2018-05-07T19:00:00.000Z";"164722";"8631-82";"Поверка при выпуске. МПИ устанавливается местными органами (ГОСТ 8.002-71)";"Нет";"Действует";"*)";"Опубликована";["ПХГ-2"];"Да";"Нет данных";"008631-008018";"Заводской номер";", , Да, ";"387122"
"Стандартная";"Сигнализаторы термохимические";"2018-05-07T19:00:00.000Z";"164717";"8630-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["СТХ-7"];"Нет";"Нет данных";"008630-008018";"Заводской номер";", , Да, ";"387117"
"Стандартная";"Сигнализаторы термохимические";"2018-05-07T19:00:00.000Z";"164718";"8630-85";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["СТХ-7"];"Нет";"Нет данных";"008630-008015";"Заводской номер";", , Да, ";"387118"
"Стандартная";"Сигнализаторы термохимические";"2018-05-07T19:00:00.000Z";"164719";"8630-88";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["СТХ-7"];"Нет";"Нет данных";"008630-008012";"Заводской номер";", , Да, ";"387119"
"Стандартная";"Сигнализаторы термохимические";"2018-05-07T19:00:00.000Z";"164720";"8630-89";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["СТХ-7М"];"Нет";"ОКБА НПО \"Химавтоматика\", Украина, г.Харьков";"008630-008011";"Заводской номер";"УКРАИНА, г.Харьков, Да, ОКБА НПО \"Химавтоматика\"";"387120"
"Стандартная";"Сигнализаторы термохимические";"2018-05-07T19:00:00.000Z";"164721";"8630-91";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["СТХ-7М"];"Нет";"ЗАО \"Харьковское ОКБА \"Химавтоматика\", Украина, г.Харьков";"008630-008009";"Заводской номер";"УКРАИНА, г.Харьков, Да, ЗАО \"Харьковское ОКБА \"Химавтоматика\"";"387121"
"Стандартная";"Инклинометры непрерывные цифровые";"2018-05-07T19:00:00.000Z";"164710";"8629-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["ИН1-721"];"Нет";"АОЗТ \"Завод Вибратор\", г.С.-Петербург";"008629-008018";"Заводской номер";"РОССИЯ, г.С.-Петербург, Да, АОЗТ \"Завод Вибратор\"";"387110"
